58189|29|10|480dpi|1080x2224|HUAWEI|HWSTK-HF|STK-LX1|kirin710|381185644|Instagram 242.0.0.16.111 Android (29/10; 480dpi; 1080x2224; HUAWEI; STK-LX1; HWSTK-HF; kirin710; it_IT; 381185644)
58190|31|12|440dpi|1080x2190|Xiaomi|pissarropro|21091116UG|mt6877|381185749|Instagram 242.0.0.16.111 Android (31/12; 440dpi; 1080x2190; Xiaomi/Redmi; 21091116UG; pissarropro; mt6877; it_IT; 381185749)
58191|30|11|440dpi|1080x2110|Xiaomi|merlinnfc|M2003J15SC|mt6768|381185749|Instagram 242.0.0.16.111 Android (30/11; 440dpi; 1080x2110; Xiaomi/Redmi; M2003J15SC; merlinnfc; mt6768; it_IT; 381185749)
58192|30|11|480dpi|1080x2292|realme|RMX2063L1|RMX2063|qcom|370082436|Instagram 235.0.0.21.107 Android (30/11; 480dpi; 1080x2292; realme; RMX2063; RMX2063L1; qcom; it_IT; 370082436)
58193|30|11|320dpi|720x1456|OPPO|OP4F97|CPH2269|mt6765|381185744|Instagram 242.0.0.16.111 Android (30/11; 320dpi; 720x1456; OPPO; CPH2269; OP4F97; mt6765; it_IT; 381185744)      
58194|29|10|480dpi|1080x2107|HUAWEI|HWMAR|MAR-LX1B|kirin710|368578768|Instagram 234.0.0.19.113 Android (29/10; 480dpi; 1080x2107; HUAWEI; MAR-LX1B; HWMAR; kirin710; it_IT; 368578768)
58195|29|10|440dpi|1080x2134|Xiaomi|galahad|M2004J19C|mt6768|379517326|Instagram 241.1.0.18.114 Android (29/10; 440dpi; 1080x2134; Xiaomi/Redmi; M2004J19C; galahad; mt6768; it_IT; 379517326)
58196|29|10|480dpi|1080x2175|samsung|starlte|SM-G960F|samsungexynos9810|379517355|Instagram 241.1.0.18.114 Android (29/10; 480dpi; 1080x2175; samsung; SM-G960F; starlte; samsungexynos9810; it_IT; 379517355)
58197|29|10|480dpi|1080x2265|HUAWEI|HWVOG|VOG-L29|kirin980|370082436|Instagram 235.0.0.21.107 Android (29/10; 480dpi; 1080x2265; HUAWEI; VOG-L29; HWVOG; kirin980; it_IT; 370082436)
58198|30|11|320dpi|720x1440|OPPO|OP4EFDL1|CPH2135|qcom|381185744|Instagram 242.0.0.16.111 Android (30/11; 320dpi; 720x1440; OPPO; CPH2135; OP4EFDL1; qcom; it_IT; 381185744)      
58199|30|11|480dpi|1080x2158|OPPO|OP4C7BL1|CPH2069|qcom|381185749|Instagram 242.0.0.16.111 Android (30/11; 480dpi; 1080x2158; OPPO; CPH2069; OP4C7BL1; qcom; it_IT; 381185749)    
58200|31|12|440dpi|1080x2263|Xiaomi|sunny|M2101K7AG|qcom|381185749|Instagram 242.0.0.16.111 Android (31/12; 440dpi; 1080x2263; Xiaomi/Redmi; M2101K7AG; sunny; qcom; it_IT; 381185749)
58201|31|12|450dpi|1080x2177|samsung|r8s|SM-G780F|exynos990|381185749|Instagram 242.0.0.16.111 Android (31/12; 450dpi; 1080x2177; samsung; SM-G780F; r8s; exynos990; it_IT; 381185749)
58202|30|11|300dpi|720x1465|samsung|a12|SM-A125F|mt6765|378116737|Instagram 240.2.0.18.107 Android (30/11; 300dpi; 720x1465; samsung; SM-A125F; a12; mt6765; it_IT; 378116737)    
58203|28|9|440dpi|1080x2134|Xiaomi|begonia|Redmi Note 8 Pro|mt6785|381185749|Instagram 242.0.0.16.111 Android (28/9; 440dpi; 1080x2134; Xiaomi/Redmi; Redmi Note 8 Pro; begonia; mt6785; it_IT; 381185749)
58204|31|12|420dpi|1080x2273|samsung|a52xq|SM-A526B|qcom|379517355|Instagram 241.1.0.18.114 Android (31/12; 420dpi; 1080x2273; samsung; SM-A526B; a52xq; qcom; en_GB; 379517355)  
58205|30|11|280dpi|720x1382|samsung|a10|SM-A105FN|exynos7884B|381185702|Instagram 242.0.0.16.111 Android (30/11; 280dpi; 720x1382; samsung; SM-A105FN; a10; exynos7884B; it_IT; 381185702)
58206|29|10|420dpi|1080x2255|samsung|m20lte|SM-M205FN|exynos7904|381185749|Instagram 242.0.0.16.111 Android (29/10; 420dpi; 1080x2255; samsung; SM-M205FN; m20lte; exynos7904; it_IT; 381185749)
